description,category,topic
Voting Turnout vs. Registration,Youth Development,Additional Data
Nonprofits Serving Young People,Youth Development,Additional Data
Youth Residential Stability,Youth Development,Additional Data
Transition to Adult Life,Youth Development,Additional Data
Disconnected Youth,Youth Development,Additional Data
Social Media Use,Youth Development,Additional Data
Suicide Rates,Youth Development,Additional Data
Drug Overdoses,Youth Development,Additional Data
Statewide Data,Youth Development,Additional Data
Kentucky Incentives for Prevention,Youth Development,Additional Data
Other Data?,Youth Development,Additional Data
Parents' Job Data,Youth Development,Inclusive Economic Indicators